date,region,product,units,unit_price,customer_rating
2025-01-03,North,Laptop,12,899.0,4.2
2025-01-05,South,Monitor,25,249.0,4.5
2025-01-08,North,Keyboard,40,79.0,4.0
2025-01-10,East,Laptop,8,899.0,3.8
2025-01-12,West,Mouse,120,29.0,4.6
2025-01-15,South,Laptop,6,899.0,4.1
2025-01-18,East,Monitor,18,249.0,4.3
2025-01-20,North,Mouse,95,29.0,4.4
2025-01-22,West,Keyboard,33,79.0,3.9
2025-01-25,South,Monitor,14,249.0,4.7
2025-01-28,East,Mouse,88,29.0,4.2
2025-02-01,North,Monitor,20,249.0,4.0
2025-02-04,West,Laptop,10,899.0,4.3
2025-02-07,South,Keyboard,52,79.0,4.5
2025-02-10,East,Laptop,9,899.0,3.7
2025-02-12,North,Mouse,,29.0,4.1
2025-02-15,West,Monitor,16,249.0,4.4
2025-02-18,South,Mouse,110,29.0,4.8
2025-02-20,East,Keyboard,28,79.0,4.0
2025-02-22,North,Laptop,11,899.0,4.2
